id,altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
1401401036715,298,299,0,1,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAFAEL TALACCHIA,14,Córdoba
1401401036720,7398,7399,7150,7151,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAIMUNDO CAPARROZ,14,Córdoba
1401401036820,1398,1399,1200,1201,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAMON MUNILLA,14,Córdoba
1401401036880,2798,2799,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAUL PECKER,14,Córdoba
1401401037020,6998,6999,6700,6701,CALLE,14014,Capital,INDEC,14014010,Córdoba,RICARDO ALDAO,14,Córdoba
1401401037025,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,RICARDO ARRIETA,14,Córdoba
1401401037100,10498,10499,10300,10301,CALLE,14014,Capital,INDEC,14014010,Córdoba,RICARDO SANTOS,14,Córdoba
1401401037225,1698,1699,1500,1501,CALLE,14014,Capital,INDEC,14014010,Córdoba,RIO TURBIO,14,Córdoba
1401401036535,8298,8299,8200,8201,CALLE,14014,Capital,INDEC,14014010,Córdoba,QUENTREL,14,Córdoba
1401401037375,7528,7529,7250,7251,CALLE,14014,Capital,INDEC,14014010,Córdoba,RODOLFO DE ALZAGA,14,Córdoba
1401401036610,6898,6899,6700,6701,CALLE,14014,Capital,INDEC,14014010,Córdoba,QUINTAS DE LOS CREMADER,14,Córdoba
1401401036710,6498,6499,5900,5901,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAFAEL SORIA,14,Córdoba
1401401036805,7098,7099,7050,7051,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAMON GIL NAVARRO,14,Córdoba
1401401036900,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,RAUL SESSA,14,Córdoba
1401401037015,1548,1549,1530,1531,CALLE,14014,Capital,INDEC,14014010,Córdoba,RIANJO,14,Córdoba
1401401037035,4528,4529,4500,4501,CALLE,14014,Capital,INDEC,14014010,Córdoba,RICARDO DAY,14,Córdoba
1401401037275,5898,5899,5200,5201,CALLE,14014,Capital,INDEC,14014010,Córdoba,ROBERTO BUNSEN,14,Córdoba
1401401037650,2898,2899,2800,2801,CALLE,14014,Capital,INDEC,14014010,Córdoba,SALADILLO,14,Córdoba
1401401038480,2098,2099,2000,2001,CALLE,14014,Capital,INDEC,14014010,Córdoba,SIXTO CASANOVA,14,Córdoba
1401401037680,7998,7999,7900,7901,CALLE,14014,Capital,INDEC,14014010,Córdoba,SALINEROS,14,Córdoba
1401401038535,6098,6099,6000,6001,CALLE,14014,Capital,INDEC,14014010,Córdoba,SONSACATE,14,Córdoba
1401401038625,5398,5399,5300,5301,CALLE,14014,Capital,INDEC,14014010,Córdoba,SUNCHO HUAICO,14,Córdoba
1401401037870,1298,1299,1200,1201,CALLE,14014,Capital,INDEC,14014010,Córdoba,SAN JOSE,14,Córdoba
1401401037890,1098,1099,1000,1001,CALLE,14014,Capital,INDEC,14014010,Córdoba,SAN JUAN M VIANNEY,14,Córdoba
1401401038135,4098,4099,4000,4001,CALLE,14014,Capital,INDEC,14014010,Córdoba,SANTIAGO BELTRAN,14,Córdoba
1401401038935,7998,7999,7780,7781,CALLE,14014,Capital,INDEC,14014010,Córdoba,TIMBUES,14,Córdoba
1401401038245,4298,4299,4200,4201,CALLE,14014,Capital,INDEC,14014010,Córdoba,SATURNINO NAVARRO,14,Córdoba
1401401039085,7198,7199,7100,7101,CALLE,14014,Capital,INDEC,14014010,Córdoba,TOMAS MORGAN,14,Córdoba
1401401039335,7698,7699,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,TUTI CUSI,14,Córdoba
1401401039375,1898,1899,1800,1801,CALLE,14014,Capital,INDEC,14014010,Córdoba,UMARASACATE,14,Córdoba
1401401038620,7798,7799,7600,7601,CALLE,14014,Capital,INDEC,14014010,Córdoba,SUNCHILLO,14,Córdoba
1401401038695,2598,2599,2400,2401,CALLE,14014,Capital,INDEC,14014010,Córdoba,TALAMOCHITA,14,Córdoba
