Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telecom Argentina S.A.,689-DISPAFTICDINAU/2015,26/01/15,1019-EXPCNC/2014,$ 2.500.000,UT,$ 117.250,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,751-DISPAFTICDINAU/2015,16/01/15,6443-EXPCNC/2014,$ 4.500.000,UT,$ 211.050,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,752-DISPAFTICDINAU/2015,16/01/15,6624-EXPCNC/2014,$ 100.000,UT,$ 4.690,Servicios,Multa,2015
Telefónica de Argentina S.A.,753-DISPAFTICDINAU/2015,16/01/15,2972-EXPCNC/2014,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica de Argentina S.A.,754-DISPAFTICDINAU/2015,17/01/15,9453-EXPCNC/2014,$ 4.000.000,UT,$ 187.600,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,804-DISPAFTICDINAU/2015,19/01/15,6441-EXPCNC/2014,$ 2.500.000,UT,$ 117.250,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,755-DISPAFTICDINAU/2015,17/01/15,8197-EXPCNC/2014,$ 8.000.000,UT,$ 375.200,Instalación Servicio,Multa,2015
Telefónica de Argentina S.A.,690-DISPAFTICDINAU/2015,26/01/15,2049-EXPAFTIC/2015,$ 2.000.000,UT,$ 93.800,Instalación Servicio,Multa,2015
Telefónica de Argentina S.A.,805-DISPAFTICDINAU/2015,19/01/15,10875-EXPCNC/2014,$ 4.000.000,UT,$ 187.600,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,756-DISPAFTICDINAU/2015,17/01/15,3427-EXPCNC/2014,$ 600.000,UT,$ 28.140,Cambio de Domicilio,Multa,2015
Telefónica de Argentina S.A.,806-DISPAFTICDINAU/2015,19/01/15,7855-EXPCNC/2014,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,807-DISPAFTICDINAU/2015,19/01/15,8805-EXPCNC/2014,$ 12.000.000,UT,$ 562.800,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,691-DISPAFTICDINAU/2015,26/01/15,3683-EXPCNC/2013,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,808-DISPAFTICDINAU/2015,19/01/15,2011-EXPCNC/2014,$ 3.500.000,UT,$ 164.150,Reparación Servicio,Multa,2015
Telmex Argentina,809-DISPAFTICDINAU/2015,19/01/15,15-EXPAFTIC/2015,$ 200.000,UT,$ 9.380,Facturación,Multa,2015
Telecom Argentina S.A.,692-DISPAFTICDINAU/2015,26/01/15,864-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica de Argentina S.A.,757-DISPAFTICDINAU/2015,17/01/15,3752-EXPCNC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica de Argentina S.A.,758-DISPAFTICDINAU/2015,17/01/15,4572-EXPCNC/2015,$ 2.500.000,UT,$ 117.250,Reparación Servicio,Multa,2015
Telecom Personal S.A.,759-DISPAFTICDINAU/2015,17/01/15,1412-EXPCNC/2015,$ 3.600.000,UT,$ 168.840,Facturación,Multa,2015
Telefónica de Argentina S.A.,810-DISPAFTICDINAU/2015,19/01/15,1380-EXPAFTIC/2015,$ 1.300.000,UT,$ 60.970,Facturación,Multa,2015
Telecom Argentina S.A.,812-DISPAFTICDINAU/2015,19/01/15,319-EXPCNC/2015,$ 4.000.000,UT,$ 187.600,Instalación Servicio,Multa,2015
Telefónica de Argentina S.A.,813-DISPAFTICDINAU/2015,19/01/15,1218-EXPCNC/2015,$ 1.300.000,UT,$ 60.970,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,814-DISPAFTICDINAU/2015,19/01/15,3908-EXPCNC/2014,$ 2.000.000,UT,$ 93.800,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,816-DISPAFTICDINAU/2015,19/01/15,118-EXPCNC/2014,$ 4.000.000,UT,$ 187.600,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,817-DISPAFTICDINAU/2015,19/01/15,17902-EXPCNC/2014,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2015
Telecom Personal S.A.,818-DISPAFTICDINAU/2015,19/01/15,2230-EXPCNC/2015,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica Moviles Argentina,819-DISPAFTICDINAU/2015,19/01/15,123-EXPAFTIC/2015,$ 1.200.000,UT,$ 56.280,Falta de señal,Multa,2015
Telecom Argentina S.A.,820-DISPAFTICDINAU/2015,19/01/15,7934-EXPCNC/2014,$ 4.000.000,UT,$ 187.600,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,822-DISPAFTICDINAU/2015,19/01/15,6434-EXPCNC/2014,$ 4.400.000,UT,$ 206.360,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,823-DISPAFTICDINAU/2015,19/01/15,9111-EXPCNC/2014,$ 2.800.000,UT,$ 131.320,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,824-DISPAFTICDINAU/2015,19/01/15,17-EXPAFTIC/2015,$ 500.000,UT,$ 23.450,Facturación,Multa,2015
Telecom Argentina S.A.,825-DISPAFTICDINAU/2015,19/01/15,1046-EXPCNC/2014,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,826-DISPAFTICDINAU/2015,19/01/15,4218-EXPCNC/2015,$ 400.000,UT,$ 18.760,Internet,Multa,2015
Telecom Argentina S.A.,827-DISPAFTICDINAU/2015,19/01/15,3910-EXPCNC/2014,$ 1.600.000,UT,$ 75.040,Reparación Servicio,Multa,2015
A.M.X. Argentina S.A.,829-DISPAFTICDINAU/2015,19/01/15,8593-EXPCNC/2013,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica de Argentina S.A.,828-DISPAFTICDINAU/2015,19/01/15,3742-EXPCNC/2015,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2015
Telecom Argentina S.A.,830-DISPAFTICDINAU/2015,19/01/15,5434-EXPCNC/2013,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,653-DISPAFTICDINAU/2015,22/01/15,8802-EXPCNC/2014,$ 8.000.000,UT,$ 375.200,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,654-DISPAFTICDINAU/2015,22/01/15,9883-EXPCNC/2014,$ 2.500.000,UT,$ 117.250,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,644-DISPAFTICDINAU/2015,22/01/15,10218-EXPCNC/2014,$ 8.000.000,UT,$ 375.200,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,649-DISPAFTICDINAU/2015,22/01/15,222-EXPCNC/2014,$ 1.600.000,UT,$ 75.040,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,648-DISPAFTICDINAU/2015,22/01/15,180-EXPCNC/2014,$ 2.800.000,UT,$ 131.320,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,647-DISPAFTICDINAU/2015,22/01/15,1416-EXPCNC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica de Argentina S.A.,641-DISPAFTICDINAU/2015,21/01/15,3173-EXPCNC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,645-DISPAFTICDINAU/2015,22/01/15,10929-EXPCNC/2014,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telefónica Moviles Argentina,658-DISPAFTICDINAU/2015,23/01/15,1748-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica Moviles Argentina,682-DISPAFTICDINAU/2015,23/01/15,2047-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,677-DISPAFTICDINAU/2015,23/01/15,823-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2015
Telecom Argentina S.A.,646-DISPAFTICDINAU/2015,22/01/15,1334-EXPCNC/2015,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2015
Telefónica Moviles Argentina,681-DISPAFTICDINAU/2015,23/01/15,183-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Cambio de Plan,Multa,2015
Telecom Argentina S.A.,652-DISPAFTICDINAU/2015,22/01/15,633-EXPCNC/2015,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telefónica de Argentina S.A.,679-DISPAFTICDINAU/2015,23/01/15,1691-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telefónica Moviles Argentina,680-DISPAFTICDINAU/2015,23/01/15,2614-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,693-DISPAFTICDINAU/2015,26/01/15,2535-EXPCNC/2015,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,694-DISPAFTICDINAU/2015,26/01/15,17164-EXPCNC/2014,$ 2.000.000,UT,$ 93.800,Facturación,Multa,2015
Telecom Argentina S.A.,695-DISPAFTICDINAU/2015,26/01/15,7928-EXPCNC/2014,$ 12.000.000,UT,$ 562.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,696-DISPAFTICDINAU/2015,26/01/15,10342-EXPCNC/2014,$ 4.500.000,UT,$ 211.050,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,637-DISPAFTICDINAU/2015,21/01/15,3905-EXPCNC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,697-DISPAFTICDINAU/2015,26/01/15,9287-EXPCNC/2014,$ 1.000.000,UT,$ 46.900,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,698-DISPAFTICDINAU/2015,26/01/15,5586-EXPCNC/2015,$ 6.200.000,UT,$ 290.780,Reparación Servicio,Multa,2015
