,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
404,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,6.0,No,No,6.0
405,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,12.0,No,No,6.0
406,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,13.0,No,No,6.0
408,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima indirecta - familiar,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,No especifica,No,No,6.0
427,9415555505,2020-04-28,Trata,Explotación laboral,Victima directa,Argentina,Misiones,No especifica,Mujer,No especifica,No,No,54.0
430,515555505,2020-04-28,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,San Lorenzo,Hombre,52.0,No,No,82.0
431,515555505,2020-04-28,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,Entre Ríos,Concordia,Mujer,12.0,No,No,30.0
444,1525555505,2020-04-28,Trata,Venta de niños y otros delitos,Victima directa,Argentina,No especifica,No especifica,Hombre,1.0,No,No,No especifica
448,2535555505,2020-04-29,Trata,Explotación laboral,Victima directa,Argentina,Formosa,Villa Escobar,Mujer,No especifica,No,No,34.0
449,2535555505,2020-04-29,Trata,Explotación laboral,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
464,584655505,2020-05-06,Trata,Servidumbre doméstica,Victima directa,Argentina,No especifica,No especifica,Mujer,28.0,No,No,No especifica
466,3584655505,2020-05-06,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Mujer,28.0,No,No,No especifica
467,594655505,2020-05-07,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Banfield,Mujer,No especifica,No,No,6.0
